Ticari İsim,Etken Madde,Formulasyon,Kategori ID
ORTOVERO WG 80 (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül),6
CHIZON 48 SL (İTHAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
KİNG'S CHARM (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre),6
PATUKO (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre),6
QUİCKER (İTHAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre),6
ESSENCE 38 WG (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
FICTION (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül),6
ALLİES (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
OLBERS OD 66 (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen),6
CITROCIL (İTHAL),100 g/l 2-Phenylphenol + 75 g/l Imazalil,EC (Emülsiye Olabilen Konsantre),6
LONTANO 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)",6
BANSHEE (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
LAPUSS (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AGOBİS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
VİEZLIOS 222 SC (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ADOMEN SL (İMAL),280 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre),6
ALAMAÇ WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz),6
FİKSTRO (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TİBİLİSE (İMAL),"51,4 g/l Metalik Bakıra eşdeğer Yağ ve Rosin Asitlerinin Bakır Tuzları",EC (Emülsiye Olabilen Konsantre),6
ORLOV (İMAL),220 g/l Dicamba + 50 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
WEDİAT (İMAL),"9,3 g/l Milbemectin",EC (Emülsiye Olabilen Konsantre),6
DİMPLE (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FOGO (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RAINLIC (İTHAL),%40 Gibberellic Acid,SG (Suda Çözünen Granül),6
CARMENTES (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre),6
REDTURTLE 450 CS (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon),6
MEGURO (İMAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KENATUS (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RAGNAROK SC 480 (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ABGWITH (İMAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
PENDİPAX (İTHAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre),6
ROYKÜP (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre),6
PİNKMAN (İMAL),50 g/l Mepiquat Chloride,SL (Suda Çözünen Konsantre),6
ROYHOT EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
VERSED 5 EW (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)",6
CARPAZ 300 EC (İMAL),300 g/l Cyprodinil,EC (Emülsiye Olabilen Konsantre),6
BRANİNA (İMAL),%50 Cymoxanil,WP (Islanabilir Toz),6
EUMİDAN 80 WG (İMAL),%80 Captan,WG (Suda Dağılabilen Granül),6
SPRINEX (İMAL),300 g/l Spiroxamine + 160 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre),6
KARDAT 50 WP (İMAL),%50 Captan,WP (Islanabilir Toz),6
EFDAL FULKİT (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)",6
TANCAP (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül),6
XEDAZİL 22 (İTHAL),220 g/l Imazalil,EC (Emülsiye Olabilen Konsantre),6
GAMBOL (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre),6
GIANT 450 CS (İMAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon),6
KOLLBEN 20 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BUGA 66 OD (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen),6
STRONİPAC (İTHAL),250 g/l Trinexapac-ethyl,EC (Emülsiye Olabilen Konsantre),6
BORDUM (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz),6
PALFA (İMAL),250 g/l Fluopyram+ 250 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RENMARK 225 SC (İMAL),150 g/l Penoxsulam + 75 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CARPAGE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CRUDELIS (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SEPİON (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
KALENDA (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
INBOX (İMAL),200 g/l Bromoxynil octanoate + 200 g/l MCPA,EC (Emülsiye Olabilen Konsantre),6
KIPPOX (İMAL),200 g/l Carfentrazone-ethyl + 30 g/l Diuron,SE (Suspo-Emülsiyon),6
DANIRANGER (İTHAL),111 g/l Cyflumetofen,DC (Disperse Olabilen Konsantre),6
SUBTLY (İMAL),200 g/l Diquat dibromide,SL (Suda Çözünen Konsantre),6
CALYPTRA (İTHAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
NORCUP 75 WG (İMAL),%75 Metalik bakıra eşdeğer bakır oksit,WG (Suda Dağılabilen Granül),6
CYMOCOP (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",WP (Islanabilir Toz),6
EUROXOM (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TURATO (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
OPICON 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
ASTMASY (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CALIGULA SE 250 (İTHAL),125 g/l Fluopyram + 125 g/l Prothioconazole,SE (Suspo-Emülsiyon),6
DÜNYAMİX EC (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre),6
ISOMEALY PF (İTHAL),158 mg (5 methyl-2-(1-methylethenyl)-4-hexen-1-yl 3-methyl-2-butenoate),--- (-),6
LENA KÖNİG (İMAL),"%0,52 1-naphthylacetic acid (NAA) + %0,51 4-indol-3-ylbutyric acid (IBA)",WP (Islanabilir Toz),6
NANAKO (İTHAL),12 g/l Sodıum p-nitrophenolate + 8 g/l Sodıum o-nitrophenolate + 4 g/l Sodıum 5-nitroguaıacolate,SL (Suda Çözünen Konsantre),6
PORTELET SC (İMAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BUTRIX WG (İMAL),"%6,75 Propoxycarbazone Sodium + %4,5 Mesosulfuron-methyl + %9 Mefenpyr-diethyl (safener)",WG (Suda Dağılabilen Granül),6
MASURAN 50 WG (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
DUNGEON (İMAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen),6
ASENOM (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SPORSAV (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
GARGANO (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CARTOGENİS (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TARANTULA 20 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FRS WOLTHER 20 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RECONDİTE (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ONTHİON 65 EC (İTHAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
LOKOMOTIVE (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CRULTOP (İTHAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre),6
BROTE 480 EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
FENCLOWİT (İTHAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre),6
ALARGA (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EKSTRAVİK 2 F (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)",6
SERPENTE (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
SMULAİD WG (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
SOLTER 250 EC (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre),6
VELTİMA (İMAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
CHALLEROX (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ABG FORTE (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre)),6
GRİMERUS (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre),6
AGAPTUS (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül),6
VİGNOSOL (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ELESSAR (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ARBOR (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)",6
TASH (İMAL),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre),6
KYOTO (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen),6
MOSKİTEK (İTHAL),"8,75 g Ammonium acetate+1,25 g Trimethylamine hydrochloride+ 0,04 g 1.4 -Diaminobutane+0,07 g Esfenvalarate+Tuzak",--- (-),6
ESCALADE 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PERİTO 25 WG (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül),6
MAFENTE (İTHAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre),6
İNVİCTA (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CITROSOL 500 (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre),6
MALTEGO (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen),6
BELOUKHA 680 EC (İTHAL),680 g/l Pelargonic Acid,EC (Emülsiye Olabilen Konsantre),6
SHENZI 35 WG (İTHAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül),6
AMANAT 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MİKASER SC 263 (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FLAKEA (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
ROMPER 200 EC (İMAL),200 g/l Pyraclostrobin,EC (Emülsiye Olabilen Konsantre),6
NEFY 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
GLADYATÖR (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NIKTO (İMAL),140 g/l Thiabendazole + 100 g/l Imazalil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BEASCAS (İMAL),%50 Captan,WP (Islanabilir Toz),6
SERUBT (İMAL),150 g/l Cyprodinil + 100 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PENEPLEN WG (İMAL),"%45,6 Cymoxanil + %15 Trifloxystrobin",WG (Suda Dağılabilen Granül),6
ALHAM 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
MEXAMİTE (İTHAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre),6
DOMİNANCE (İMAL),%5 Metaldehyde,GB (Granül Yem),6
KİNG'S ANGEL (İTHAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
DANGO (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ONROBİN (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
RIVOMETHRIN 25 EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre),6
MAVINCHI SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KİNG'S TROPHY (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
OCTELLA (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
YARDA 400 SC (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CORBEAS (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre),6
TEKDEM 263 SC (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CROPSECURE 50 WG (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
GALACTUS 263 SC (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BİRUSE (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TİERON (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CURAXİL (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz),6
RAPETTİ WG (İMAL),%60 Fosetyl-Al + %4 Famoxadone,WG (Suda Dağılabilen Granül),6
LEVASHI 125 SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SAFA PHASE-L (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ROYSON 46 SL (İMAL),460 g/l Chlormequat Chloride,SL (Suda Çözünen Konsantre),6
ALABANDA (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
RANDERAS (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre),6
BORDOTAN WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül),6
GRONAFOR (İTHAL),9 g/l Sodium p-nitrophenolate + 6 g/l Sodium o-nitrophenolate + 3 g/l Sodium 5-nitroguaiacolate,SL (Suda Çözünen Konsantre),6
TEMPORA 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
DRIARMY (İTHAL),%20 Pyridaben,WP (Islanabilir Toz),6
PERİSTERA OPTİ 500 (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RONNİE 25 WP (İMAL),%25 Malathion,WP (Islanabilir Toz),6
CAMPANOLA (İMAL),250 g/l Quinmerac + 35 g/l Imazamox,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RENNES (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
TALIGA 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz),6
ZELUNİS (İMAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BLACKFISH (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ORFOZ (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MASGARD SE (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon),6
DİFCAN (İTHAL),500 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ONESPOT 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NAPOLLY (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
PALUST (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül),6
CHORD (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
RADYANA 24 EC (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre),6
RAINZONE (İTHAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre),6
SOLFENCE OPTİ (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CABİRİS OD (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
LENA FRUITSET 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz),6
ROYGUARD SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DOĞAL YAZLIK YAĞ (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)",6
TEZCAN YAZLIK YAĞ (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)",6
ARINGEN (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SOWİNA WP 70 (İMAL),%70 Metribuzin,WP (Islanabilir Toz),6
ARBEAS (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
WENDOL 400 EC (İMAL),400 g/l Fenamiphos,EC (Emülsiye Olabilen Konsantre),6
MENDOZA 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon),6
PROSEC 45 EC (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre),6
TİREUR (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
PİRİMEDİ (İTHAL),400 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KAMMURİ (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre),6
ABG BİMBO 105 OD (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
BARRACK (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre),6
SANZELİA 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
AGROSHIELD 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre),6
EPOCH (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül),6
ROYTAGRAN 48 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
CARSONA (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SALERNES EC (İMAL),50 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre),6
MEFİEZ (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre),6
NİCOKİNG (İTHAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
BOOMERANG FS 170 (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
AGULIUS (İMAL),310 g/l Pyrimethanil + 95 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
GRASİDİM (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre),6
CLEVEROLE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HERBUS (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KAVURAN (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PUGNATOR SC 500 (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DUNKA (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DONNA (İMAL),375 g/l Phosphorous Acid (mono ve di-potasyum tuzları) + 125 g/L Dithianon,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DIZOLE 250 EC (İTHAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre),6
ABGMIRAL (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre),6
NARCAO 40 WG (İMAL),%40 Metalik bakıra eşdeğer bakır hidroksit,"WG ""Sadece bakırlı preparatlar"" (Suda Dağılabilen Granül)",6
MANDUEL 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz),6
LENA MASTER SC (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre)),6
TOPENO 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EFFECTOR 100 EW (İMAL),100 g/l Alpha-cypermethrin,"EW (Emülsiyon, Suda Yağ)",6
THORAX (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
VAYAGER (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre),6
BOSMANG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül),6
ROYCUR 25 WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz),6
DUNEX (İTHAL),515 g/l Propamocarb-hydrochloride + 137 g/l Ametoctradin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MAPOYA (İMAL),679 g/l N-Decanol,EC (Emülsiye Olabilen Konsantre),6
ROYAMİL WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz),6
AGROBOSS (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CLODEEP (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BLUMİS OD (İTHAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen),6
NOVALECT (İMAL),300 g/l Aclonifen + 20 g/l İmazamox,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ROYTUVA EC (İMAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre),6
RONNİE 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
RABANNE 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DORESSA 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SERATİS WG (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül),6
ROYTHİON EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
ORLİNA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AGROFARM FOXX EC 460 (İMAL),300 g/l Spiroxamine + 160 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre),6
BOWFİN 800 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FALTEK (İMAL),%6 Metaldehyde,GB (Granül Yem),6
MAUNA (İMAL),160 g/l Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
METIKOLOS (İTHAL),300 g/l Fluazinam + 200 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SHİLA (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül),6
AGROBEST SİMİLİS 80 EC (İMAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre),6
ONCAGEN 20 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KUNTENEX 600 (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BESTUBA 330 E (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre),6
INKAT WG 80 (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül),6
SUYATO (İMAL),218 g/l Tefuryltrione,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FELİPELLO 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre),6
XPEDIENT (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
