Ticari Isim,Etken Madde,Formulasyon
ORTOVERO WG 80 (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
CHIZON 48 SL (İTHAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
KİNG'S CHARM (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
PATUKO (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre)
QUİCKER (İTHAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
ESSENCE 38 WG (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
FICTION (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
ALLİES (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OLBERS OD 66 (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
CITROCIL (İTHAL),100 g/l 2-Phenylphenol + 75 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
LONTANO 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
BANSHEE (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LAPUSS (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGOBİS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
VİEZLIOS 222 SC (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ADOMEN SL (İMAL),280 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre)
ALAMAÇ WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
FİKSTRO (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TİBİLİSE (İMAL),"51,4 g/l Metalik Bakıra eşdeğer Yağ ve Rosin Asitlerinin Bakır Tuzları",EC (Emülsiye Olabilen Konsantre)
ORLOV (İMAL),220 g/l Dicamba + 50 g/l Nicosulfuron,OD (Yağda Dağılabilen)
WEDİAT (İMAL),"9,3 g/l Milbemectin",EC (Emülsiye Olabilen Konsantre)
DİMPLE (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FOGO (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RAINLIC (İTHAL),%40 Gibberellic Acid,SG (Suda Çözünen Granül)
CARMENTES (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
REDTURTLE 450 CS (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
MEGURO (İMAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KENATUS (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RAGNAROK SC 480 (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABGWITH (İMAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
PENDİPAX (İTHAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
ROYKÜP (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
PİNKMAN (İMAL),50 g/l Mepiquat Chloride,SL (Suda Çözünen Konsantre)
ROYHOT EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
VERSED 5 EW (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
CARPAZ 300 EC (İMAL),300 g/l Cyprodinil,EC (Emülsiye Olabilen Konsantre)
BRANİNA (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
EUMİDAN 80 WG (İMAL),%80 Captan,WG (Suda Dağılabilen Granül)
SPRINEX (İMAL),300 g/l Spiroxamine + 160 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
KARDAT 50 WP (İMAL),%50 Captan,WP (Islanabilir Toz)
EFDAL FULKİT (İMAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
TANCAP (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül)
XEDAZİL 22 (İTHAL),220 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
GAMBOL (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
GIANT 450 CS (İMAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
KOLLBEN 20 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUGA 66 OD (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
STRONİPAC (İTHAL),250 g/l Trinexapac-ethyl,EC (Emülsiye Olabilen Konsantre)
BORDUM (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
PALFA (İMAL),250 g/l Fluopyram+ 250 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RENMARK 225 SC (İMAL),150 g/l Penoxsulam + 75 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CARPAGE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CRUDELIS (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SEPİON (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
KALENDA (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
INBOX (İMAL),200 g/l Bromoxynil octanoate + 200 g/l MCPA,EC (Emülsiye Olabilen Konsantre)
KIPPOX (İMAL),200 g/l Carfentrazone-ethyl + 30 g/l Diuron,SE (Suspo-Emülsiyon)
DANIRANGER (İTHAL),111 g/l Cyflumetofen,DC (Disperse Olabilen Konsantre)
SUBTLY (İMAL),200 g/l Diquat dibromide,SL (Suda Çözünen Konsantre)
CALYPTRA (İTHAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
NORCUP 75 WG (İMAL),%75 Metalik bakıra eşdeğer bakır oksit,WG (Suda Dağılabilen Granül)
CYMOCOP (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",WP (Islanabilir Toz)
EUROXOM (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TURATO (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OPICON 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
ASTMASY (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CALIGULA SE 250 (İTHAL),125 g/l Fluopyram + 125 g/l Prothioconazole,SE (Suspo-Emülsiyon)
DÜNYAMİX EC (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre)
ISOMEALY PF (İTHAL),158 mg (5 methyl-2-(1-methylethenyl)-4-hexen-1-yl 3-methyl-2-butenoate),--- (-)
LENA KÖNİG (İMAL),"%0,52 1-naphthylacetic acid (NAA) + %0,51 4-indol-3-ylbutyric acid (IBA)",WP (Islanabilir Toz)
NANAKO (İTHAL),12 g/l Sodıum p-nitrophenolate + 8 g/l Sodıum o-nitrophenolate + 4 g/l Sodıum 5-nitroguaıacolate,SL (Suda Çözünen Konsantre)
PORTELET SC (İMAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUTRIX WG (İMAL),"%6,75 Propoxycarbazone Sodium + %4,5 Mesosulfuron-methyl + %9 Mefenpyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
MASURAN 50 WG (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
DUNGEON (İMAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen)
ASENOM (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SPORSAV (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GARGANO (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CARTOGENİS (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TARANTULA 20 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FRS WOLTHER 20 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RECONDİTE (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ONTHİON 65 EC (İTHAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
LOKOMOTIVE (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CRULTOP (İTHAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre)
BROTE 480 EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
FENCLOWİT (İTHAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
ALARGA (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EKSTRAVİK 2 F (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)"
SERPENTE (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
SMULAİD WG (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
SOLTER 250 EC (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
VELTİMA (İMAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
CHALLEROX (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABG FORTE (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
GRİMERUS (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre)
AGAPTUS (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
VİGNOSOL (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ELESSAR (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ARBOR (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
TASH (İMAL),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
KYOTO (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
MOSKİTEK (İTHAL),"8,75 g Ammonium acetate+1,25 g Trimethylamine hydrochloride+ 0,04 g 1.4 -Diaminobutane+0,07 g Esfenvalarate+Tuzak",--- (-)
ESCALADE 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PERİTO 25 WG (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
MAFENTE (İTHAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
İNVİCTA (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CITROSOL 500 (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
MALTEGO (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
BELOUKHA 680 EC (İTHAL),680 g/l Pelargonic Acid,EC (Emülsiye Olabilen Konsantre)
SHENZI 35 WG (İTHAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
AMANAT 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİKASER SC 263 (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FLAKEA (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
ROMPER 200 EC (İMAL),200 g/l Pyraclostrobin,EC (Emülsiye Olabilen Konsantre)
NEFY 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GLADYATÖR (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NIKTO (İMAL),140 g/l Thiabendazole + 100 g/l Imazalil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BEASCAS (İMAL),%50 Captan,WP (Islanabilir Toz)
SERUBT (İMAL),150 g/l Cyprodinil + 100 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PENEPLEN WG (İMAL),"%45,6 Cymoxanil + %15 Trifloxystrobin",WG (Suda Dağılabilen Granül)
ALHAM 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
MEXAMİTE (İTHAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
DOMİNANCE (İMAL),%5 Metaldehyde,GB (Granül Yem)
KİNG'S ANGEL (İTHAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
DANGO (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ONROBİN (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
RIVOMETHRIN 25 EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
MAVINCHI SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KİNG'S TROPHY (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OCTELLA (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
YARDA 400 SC (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CORBEAS (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
TEKDEM 263 SC (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CROPSECURE 50 WG (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
GALACTUS 263 SC (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BİRUSE (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TİERON (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CURAXİL (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz)
RAPETTİ WG (İMAL),%60 Fosetyl-Al + %4 Famoxadone,WG (Suda Dağılabilen Granül)
LEVASHI 125 SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA PHASE-L (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYSON 46 SL (İMAL),460 g/l Chlormequat Chloride,SL (Suda Çözünen Konsantre)
ALABANDA (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
RANDERAS (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre)
BORDOTAN WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül)
GRONAFOR (İTHAL),9 g/l Sodium p-nitrophenolate + 6 g/l Sodium o-nitrophenolate + 3 g/l Sodium 5-nitroguaiacolate,SL (Suda Çözünen Konsantre)
TEMPORA 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
DRIARMY (İTHAL),%20 Pyridaben,WP (Islanabilir Toz)
PERİSTERA OPTİ 500 (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
RONNİE 25 WP (İMAL),%25 Malathion,WP (Islanabilir Toz)
CAMPANOLA (İMAL),250 g/l Quinmerac + 35 g/l Imazamox,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RENNES (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
TALIGA 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
ZELUNİS (İMAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BLACKFISH (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ORFOZ (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MASGARD SE (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
DİFCAN (İTHAL),500 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ONESPOT 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NAPOLLY (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
PALUST (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül)
CHORD (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
RADYANA 24 EC (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
RAINZONE (İTHAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
SOLFENCE OPTİ (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
CABİRİS OD (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
LENA FRUITSET 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz)
ROYGUARD SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DOĞAL YAZLIK YAĞ (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
TEZCAN YAZLIK YAĞ (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
ARINGEN (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SOWİNA WP 70 (İMAL),%70 Metribuzin,WP (Islanabilir Toz)
ARBEAS (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
WENDOL 400 EC (İMAL),400 g/l Fenamiphos,EC (Emülsiye Olabilen Konsantre)
MENDOZA 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
PROSEC 45 EC (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
TİREUR (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
PİRİMEDİ (İTHAL),400 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAMMURİ (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre)
ABG BİMBO 105 OD (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
BARRACK (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
SANZELİA 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
AGROSHIELD 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
EPOCH (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül)
ROYTAGRAN 48 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
CARSONA (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
SALERNES EC (İMAL),50 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
MEFİEZ (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
NİCOKİNG (İTHAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
BOOMERANG FS 170 (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
AGULIUS (İMAL),310 g/l Pyrimethanil + 95 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GRASİDİM (İTHAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
CLEVEROLE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HERBUS (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
KAVURAN (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PUGNATOR SC 500 (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DUNKA (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DONNA (İMAL),375 g/l Phosphorous Acid (mono ve di-potasyum tuzları) + 125 g/L Dithianon,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DIZOLE 250 EC (İTHAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
ABGMIRAL (İMAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
NARCAO 40 WG (İMAL),%40 Metalik bakıra eşdeğer bakır hidroksit,"WG ""Sadece bakırlı preparatlar"" (Suda Dağılabilen Granül)"
MANDUEL 20 WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz)
LENA MASTER SC (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
TOPENO 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFFECTOR 100 EW (İMAL),100 g/l Alpha-cypermethrin,"EW (Emülsiyon, Suda Yağ)"
THORAX (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
VAYAGER (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
BOSMANG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
ROYCUR 25 WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
DUNEX (İTHAL),515 g/l Propamocarb-hydrochloride + 137 g/l Ametoctradin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAPOYA (İMAL),679 g/l N-Decanol,EC (Emülsiye Olabilen Konsantre)
ROYAMİL WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
AGROBOSS (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CLODEEP (İMAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BLUMİS OD (İTHAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
NOVALECT (İMAL),300 g/l Aclonifen + 20 g/l İmazamox,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYTUVA EC (İMAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre)
RONNİE 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
RABANNE 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DORESSA 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SERATİS WG (İMAL),"%3 Mesosulfuron-methyl + %0,6 Iodosulfuron-methyl sodium + %9 Mefenpeyr-diethyl (safener)",WG (Suda Dağılabilen Granül)
ROYTHİON EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
ORLİNA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROFARM FOXX EC 460 (İMAL),300 g/l Spiroxamine + 160 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
BOWFİN 800 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FALTEK (İMAL),%6 Metaldehyde,GB (Granül Yem)
MAUNA (İMAL),160 g/l Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
METIKOLOS (İTHAL),300 g/l Fluazinam + 200 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SHİLA (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül)
AGROBEST SİMİLİS 80 EC (İMAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre)
ONCAGEN 20 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KUNTENEX 600 (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BESTUBA 330 E (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
INKAT WG 80 (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
SUYATO (İMAL),218 g/l Tefuryltrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FELİPELLO 441 SL (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
XPEDIENT (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AVENTURA 250 WG (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
SUNCOPPER 50 WP (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP(Sadece bakırlı preparatlar) (Islanabilir toz)
ALLİGATOR (İMAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre)
MEBUTAL (İTHAL),%70 Metribuzin,WG (Suda Dağılabilen Granül)
KİNG'S FEAST 40 SG (İTHAL),%40 Gibberellic Acid,SG (Suda Çözünen Granül)
